#time,accel_x,accel_y,accel_z
783.817250,-114.855485,-937.986459,-9686.145885
783.820170,-76.570323,-918.843878,-9686.145885
783.823091,-114.855485,-937.986459,-9667.003304
783.826012,-172.283227,-937.986459,-9686.145885
783.828933,-76.570323,-880.558717,-9628.718142
783.831853,-57.427742,-880.558717,-9667.003304
783.834774,-76.570323,-880.558717,-9647.860723
783.837695,-95.712904,-918.843878,-9647.860723
783.840616,-114.855485,-918.843878,-9628.718142
783.843536,-114.855485,-880.558717,-9571.290400
783.846457,-114.855485,-918.843878,-9686.145885
783.849378,-133.998066,-861.416136,-9571.290400
783.852299,-114.855485,-899.701298,-9667.003304
783.855219,-38.285162,-861.416136,-9686.145885
783.858140,-172.283227,-880.558717,-9667.003304
783.861061,-133.998066,-899.701298,-9686.145885
783.863982,-57.427742,-880.558717,-9647.860723
783.866903,-76.570323,-937.986459,-9647.860723
783.869823,-76.570323,-880.558717,-9667.003304
783.872744,-76.570323,-880.558717,-9628.718142
783.875665,-76.570323,-937.986459,-9647.860723
783.878586,-153.140646,-823.130974,-9647.860723
783.881506,-114.855485,-918.843878,-9667.003304
783.884427,-172.283227,-918.843878,-9609.575562
783.887348,-57.427742,-937.986459,-9628.718142
783.890269,-133.998066,-918.843878,-9571.290400
783.893189,-57.427742,-880.558717,-9628.718142
783.896110,-95.712904,-880.558717,-9571.290400
783.899031,19.142581,-1052.841944,-9513.862658
783.901952,172.283227,-1607.976787,-9341.579430
783.904872,-38.285162,-1607.976787,-9494.720077
783.907793,-57.427742,-3158.525832,-9284.151688
783.910714,-746.560651,-5685.346498,-9533.005238
783.913635,497.707101,-11179.267187,-8709.874264
783.916556,-669.990328,-9934.999435,-11255.837510
783.919476,-172.283227,-7350.751027,-10164.710405
783.922397,-325.423874,-3751.945837,-8767.302006
783.925318,421.136778,344.566454,-9245.866526
783.928075,-267.996131,3560.520029,-10260.423309
783.930832,267.996131,1339.980656,-7637.889739
783.933589,267.996131,-5800.201982,-11428.120738
783.936346,363.709035,-9896.714274,-6297.909083
783.939103,-689.132909,-8001.598774,-12500.105262
783.941860,-363.709035,-9379.864592,-9724.431046
783.944617,555.134843,-6642.475538,-6202.196179
783.947374,-421.136778,3541.377448,-12882.956878
783.950131,-689.132909,8020.741355,-10451.849117
783.952888,401.994197,3962.514226,-7121.040058
783.955645,803.988394,689.132909,-7925.028451
783.958402,-2201.396792,478.564520,-13686.945272
783.961158,1301.695494,-3713.660675,-4843.072942
783.963915,-2603.390989,-3885.943902,-11696.116869
783.966672,1205.982590,-5283.352301,-13342.378818
783.969429,-995.414202,172.283227,-2737.389054
783.972186,172.283227,1378.265818,-13897.513661
783.974943,2545.963246,1435.693560,-9954.142016
783.977700,-2622.533570,5072.783912,-5627.918755
783.980457,1837.687757,95.712904,-14280.365277
783.983214,-1052.841944,-1071.984525,-9762.716208
783.985971,535.992262,-5915.057467,-4153.940034
783.988728,516.849682,-5915.057467,-14088.939469
783.991485,-1684.547110,-650.847747,-10643.274925
783.994242,1014.556782,-803.988394,-6987.041992
783.996999,1933.400661,-1722.832272,-11408.978157
783.999756,-3426.521963,3771.088418,-12921.242040
784.002513,1818.545176,2009.970984,-4632.504554
784.005270,-1454.836141,-306.281293,-14414.363342
784.008027,-210.568389,-689.132909,-6872.186507
784.010784,-650.847747,-2603.390989,-8595.018779
784.013541,-1512.263883,-5206.781978,-13629.517530
784.016298,3215.953574,-5934.200048,-11772.687192
784.019055,-899.701298,593.420005,-1875.972918
784.021812,-1914.258080,3866.801322,-15333.207221
784.024569,1588.834206,2794.816797,-13208.380752
784.027326,-937.986459,2928.814862,1895.115499
784.030083,535.992262,-2833.101958,-19200.008542
784.032840,-172.283227,-2967.100024,-9188.438784
784.035597,516.849682,-3732.803256,-1263.410333
784.038270,3541.377448,-6278.766502,-16366.906584
784.040943,-9647.860723,3885.943902,-13897.513661
784.043616,8135.596840,-1263.410333,-1244.267752
784.046289,-306.281293,1435.693560,-12787.243974
784.048963,-6259.623922,5398.207786,-13055.240106
784.051636,5149.354235,-4039.084549,-3426.521963
784.054309,-516.849682,-3464.807125,-12136.396227
784.056982,-3943.371645,-2679.961312,-11696.116869
784.059655,2488.535504,-6259.623922,-8269.594906
784.062328,957.129040,-2354.537438,-3656.232933
784.065002,-5685.346498,3158.525832,-19621.145320
784.067675,3541.377448,-19.142581,-13820.943338
784.070348,5838.487144,-1033.699363,5876.772306
784.073021,-4441.078746,3522.234867,-14031.511726
784.075694,-2526.820666,1014.556782,-20807.985330
784.078367,3503.092286,-2277.967115,1933.400661
784.081041,172.283227,-2737.389054,-7255.038123
784.083714,-5685.346498,918.843878,-23526.231803
784.086387,1052.841944,-4402.793584,229.710970
784.089060,9169.296203,-7791.030386,3120.240670
784.091733,-8403.592971,3637.090352,-28924.439589
784.094406,-191.425808,2699.103893,-5168.496816
784.097080,6336.194245,-995.414202,1301.695494
784.099753,-4632.504554,3369.094221,-17611.174336
784.102426,-1454.836141,-555.134843,-15409.777544
784.105099,4785.645200,-4517.649069,3560.520029
784.107772,-2488.535504,-133.998066,-13763.515595
