#time,accel_x,accel_y,accel_z
648.088178,229.710970,-1378.265818,-7369.893608
648.090764,-0.000000,-3139.383251,-10719.845248
648.093464,-344.566454,-4977.071008,-9303.294269
648.096165,-153.140646,-6661.618118,-9111.868461
648.098865,-0.000000,-8824.729749,-9035.298138
648.101566,-363.709035,-5551.348432,-12212.966550
648.104266,-38.285162,-1780.260014,-7810.172966
648.106966,-19.142581,3713.660675,-9724.431046
648.109667,38.285162,5857.629725,-9743.573627
648.112367,-325.423874,5704.489078,-8882.157491
648.115067,-76.570323,918.843878,-9705.288466
648.117768,153.140646,-2852.244539,-9456.434915
648.120468,-172.283227,-6948.756830,-8767.302006
648.123169,-401.994197,-7082.754896,-12059.825904
648.125869,-153.140646,-5302.494882,-8173.882002
648.128569,-133.998066,1875.972918,-10375.278794
648.131270,555.134843,3598.805190,-8958.727814
648.133970,-114.855485,4441.078746,-10853.843314
648.136671,95.712904,1588.834206,-8288.737486
648.139371,-38.285162,-1282.552914,-9896.714274
648.142071,-57.427742,-5398.207786,-9667.003304
648.144772,-153.140646,-5264.209720,-10317.851051
648.147472,-172.283227,-4766.502619,-8403.592971
648.150172,-19.142581,-1110.269686,-11523.833642
648.152873,-191.425808,1052.841944,-8461.020714
648.155573,229.710970,2660.818731,-10719.845248
648.158274,-0.000000,2679.961312,-8671.589102
648.160974,114.855485,1110.269686,-9341.579430
648.163674,191.425808,-2411.965181,-9150.153622
648.166375,-784.845813,-2526.820666,-10796.415571
648.169075,248.853550,-2871.387120,-8882.157491
648.171776,-535.992262,-1837.687757,-10279.565890
648.174476,76.570323,-2009.970984,-9437.292334
648.177176,-248.853550,0.000000,-10738.987829
648.179877,-38.285162,1703.689691,-8729.016845
648.182577,57.427742,1052.841944,-9820.143950
648.185277,-114.855485,-631.705166,-8958.727814
648.187978,-76.570323,-1799.402595,-10222.138147
648.190678,-248.853550,-2469.392923,-9073.583299
648.193379,-172.283227,-2833.101958,-10011.569758
648.196079,-114.855485,-2890.529701,-9360.722011
648.198779,-95.712904,-459.421939,-11026.126541
648.201197,-210.568389,1416.550979,-8633.303941
648.203614,133.998066,918.843878,-9820.143950
648.206032,-191.425808,19.142581,-9073.583299
648.208449,210.568389,-1627.119368,-9054.440718
648.210866,-401.994197,-1014.556782,-9934.999435
648.213284,-133.998066,-2756.531635,-9628.718142
648.215701,-229.710970,-2718.246474,-9839.286531
648.218119,19.142581,-1856.830338,-9724.431046
648.220536,-153.140646,765.703232,-10011.569758
648.222953,-248.853550,555.134843,-9111.868461
648.225371,57.427742,-57.427742,-9954.142016
648.227788,-133.998066,-325.423874,-9590.432981
648.230206,-57.427742,-57.427742,-8997.012976
648.232623,-95.712904,-1569.691626,-9954.142016
648.235041,-191.425808,-2469.392923,-9552.147819
648.237458,344.566454,-3254.238736,-9839.286531
648.239875,-612.562586,-57.427742,-10260.423309
648.242293,344.566454,-1033.699363,-8997.012976
648.244710,-574.277424,421.136778,-10451.849117
648.247128,95.712904,-133.998066,-8709.874264
648.249545,-133.998066,478.564520,-9667.003304
648.251962,-133.998066,-1722.832272,-9169.296203
648.254380,-421.136778,-1473.978722,-10470.991698
648.256797,-38.285162,-2124.826469,-8499.305875
648.259215,-0.000000,-746.560651,-11045.269122
648.261632,-153.140646,-1378.265818,-9054.440718
648.264049,-287.138712,-95.712904,-10547.562021
648.266467,401.994197,-133.998066,-8729.016845
648.268884,-57.427742,918.843878,-9207.581365
648.271302,-421.136778,-861.416136,-9494.720077
648.273719,153.140646,-1799.402595,-10796.415571
648.276136,-248.853550,-2335.394858,-7637.889739
648.278554,-95.712904,-957.129040,-11294.122672
648.280971,-153.140646,-2009.970984,-8767.302006
648.283389,-95.712904,-478.564520,-10834.700733
648.285806,-172.283227,76.570323,-9054.440718
648.288223,-153.140646,899.701298,-9590.432981
648.290641,267.996131,-995.414202,-8997.012976
648.293058,-306.281293,-535.992262,-11179.267187
