#time,accel_x,accel_y,accel_z
442.952962,-401.994197,172.283227,-10164.710405
442.955636,-114.855485,2909.672282,-9877.571693
442.958310,-114.855485,4402.793584,-9035.298138
442.960984,38.285162,4957.928427,-10202.995566
442.963658,421.136778,5570.491013,-9820.143950
442.966332,-612.562586,2660.818731,-8250.452325
442.969006,76.570323,-1244.267752,-10202.995566
442.971680,-76.570323,-5934.200048,-9073.583299
442.974354,-153.140646,-11064.411702,-9896.714274
442.977028,-248.853550,-11925.827838,-10260.423309
442.979702,1378.265818,-3177.668413,-11006.983960
442.982376,-2450.250342,2852.244539,-6948.756830
442.985050,1531.406464,-2239.681954,-11294.122672
442.987724,-631.705166,-210.568389,-10796.415571
442.990398,382.851616,-1627.119368,-6623.332957
442.993072,-344.566454,-1110.269686,-11619.546546
442.995697,-555.134843,-823.130974,-8384.450390
442.998321,-114.855485,19.142581,-8499.305875
443.000946,-172.283227,-842.273555,-10509.276859
443.003570,-19.142581,-1186.840010,-10604.989763
443.006194,-133.998066,-899.701298,-7580.461997
443.008819,153.140646,-1205.982590,-11102.696864
443.011443,-229.710970,-995.414202,-10068.997501
443.014067,-57.427742,-880.558717,-7867.600709
443.016692,-57.427742,-1339.980656,-10834.700733
443.019316,-153.140646,-1091.127106,-9839.286531
443.021940,-57.427742,-1186.840010,-8346.165229
443.024565,-95.712904,-1148.554848,-10815.558152
443.027189,-172.283227,-1091.127106,-10107.282662
443.029813,-0.000000,-957.129040,-8556.733618
443.032438,-153.140646,-689.132909,-10298.708470
443.035062,-95.712904,-535.992262,-9590.432981
443.037686,-0.000000,-516.849682,-8671.589102
443.040311,-172.283227,-689.132909,-10604.989763
443.042935,-57.427742,-1110.269686,-9724.431046
443.045559,-76.570323,-1091.127106,-8575.876198
443.048184,-153.140646,-1148.554848,-10719.845248
443.050808,-172.283227,-880.558717,-9839.286531
443.053432,-38.285162,-880.558717,-8595.018779
443.056057,-95.712904,-995.414202,-10279.565890
443.058681,-114.855485,-880.558717,-9686.145885
443.061305,-0.000000,-823.130974,-8958.727814
443.063930,-95.712904,-861.416136,-10088.140082
443.066554,-133.998066,-842.273555,-9973.284597
443.069178,-19.142581,-937.986459,-8882.157491
443.071803,-172.283227,-976.271621,-10336.993632
443.074427,-57.427742,-1033.699363,-9494.720077
443.077051,-95.712904,-937.986459,-9035.298138
443.079639,-114.855485,-1071.984525,-10317.851051
443.082227,-133.998066,-1071.984525,-9533.005238
443.084815,-38.285162,-937.986459,-9150.153622
443.087403,-114.855485,-861.416136,-10260.423309
443.089991,-95.712904,-746.560651,-9533.005238
443.092578,-0.000000,-708.275490,-9207.581365
443.095166,-38.285162,-861.416136,-10068.997501
443.097754,-76.570323,-880.558717,-9686.145885
443.100342,-0.000000,-1014.556782,-9188.438784
443.102930,-114.855485,-899.701298,-10164.710405
443.105518,-172.283227,-689.132909,-9686.145885
443.108105,-57.427742,-957.129040,-9303.294269
443.110693,-57.427742,-1033.699363,-10011.569758
443.113281,-57.427742,-937.986459,-9494.720077
443.115869,-19.142581,-899.701298,-9456.434915
443.118457,-114.855485,-918.843878,-10088.140082
443.121045,-0.000000,-1014.556782,-9360.722011
443.123632,-95.712904,-842.273555,-9494.720077
443.126220,-153.140646,-727.418070,-10298.708470
443.128808,-95.712904,-995.414202,-9092.725880
443.131396,-19.142581,-1110.269686,-9265.009107
443.133984,-95.712904,-803.988394,-10145.567824
443.136572,-153.140646,-746.560651,-9705.288466
443.139159,-133.998066,-976.271621,-9399.007173
443.141747,-38.285162,-823.130974,-9954.142016
443.144335,-133.998066,-650.847747,-9743.573627
443.146923,-95.712904,-746.560651,-9667.003304
443.149511,-133.998066,-880.558717,-9820.143950
443.152099,-95.712904,-957.129040,-9475.577496
443.154686,-38.285162,-937.986459,-9513.862658
443.157274,-133.998066,-861.416136,-9992.427178
443.159862,-133.998066,-842.273555,-9571.290400
443.162450,-76.570323,-842.273555,-9360.722011
443.165038,-38.285162,-957.129040,-10049.854920
443.167626,-38.285162,-861.416136,-9456.434915
443.170213,-76.570323,-937.986459,-9667.003304
443.172801,-38.285162,-1033.699363,-9820.143950
443.175389,-114.855485,-995.414202,-9590.432981
443.177977,-76.570323,-937.986459,-9686.145885
443.180565,-133.998066,-1014.556782,-9705.288466
443.183135,-95.712904,-1110.269686,-9533.005238
443.185705,-57.427742,-995.414202,-9647.860723
443.188275,-114.855485,-937.986459,-9858.429112
443.190844,-76.570323,-823.130974,-9609.575562
443.193414,-95.712904,-612.562586,-9628.718142
443.195984,-133.998066,-669.990328,-9820.143950
443.198554,-153.140646,-708.275490,-9590.432981
443.201124,-114.855485,-746.560651,-9781.858789
443.203694,-172.283227,-995.414202,-9686.145885
443.206264,-95.712904,-1110.269686,-9628.718142
443.208834,-57.427742,-1148.554848,-9533.005238
443.211404,-95.712904,-957.129040,-9762.716208
443.213973,-57.427742,-823.130974,-9609.575562
443.216543,-133.998066,-823.130974,-9647.860723
443.219113,-57.427742,-823.130974,-9877.571693
443.221683,-76.570323,-899.701298,-9686.145885
443.224253,-95.712904,-937.986459,-9647.860723
443.226823,-114.855485,-995.414202,-9686.145885
443.229393,-133.998066,-918.843878,-9513.862658
443.231963,-76.570323,-880.558717,-9686.145885
443.234532,-95.712904,-899.701298,-9705.288466
443.237102,-57.427742,-976.271621,-9475.577496
443.239672,-133.998066,-918.843878,-9781.858789
443.242242,-76.570323,-765.703232,-9801.001370
443.244812,-76.570323,-784.845813,-9513.862658
443.247382,-57.427742,-918.843878,-9628.718142
443.249952,-57.427742,-899.701298,-9667.003304
443.252522,-57.427742,-918.843878,-9647.860723
443.255092,-76.570323,-842.273555,-9724.431046
443.257661,-114.855485,-918.843878,-9743.573627
443.260231,-114.855485,-918.843878,-9667.003304
443.262801,-95.712904,-995.414202,-9628.718142
443.265371,-133.998066,-976.271621,-9686.145885
443.267941,-95.712904,-957.129040,-9647.860723
443.270511,-76.570323,-880.558717,-9609.575562
443.273081,-114.855485,-823.130974,-9628.718142
443.275651,-95.712904,-995.414202,-9686.145885
443.278220,-38.285162,-976.271621,-9552.147819
443.280790,-133.998066,-937.986459,-9456.434915
443.283360,-133.998066,-899.701298,-9801.001370
443.285914,-38.285162,-1129.412267,-9590.432981
443.288468,-57.427742,-1033.699363,-9724.431046
443.291021,-76.570323,-823.130974,-9667.003304
443.293575,-95.712904,-803.988394,-9647.860723
443.296129,-95.712904,-708.275490,-9571.290400
443.298683,-133.998066,-708.275490,-9686.145885
443.301236,-76.570323,-880.558717,-9667.003304
443.303790,-95.712904,-899.701298,-9724.431046
443.306344,-133.998066,-918.843878,-9533.005238
443.308898,-133.998066,-918.843878,-9667.003304
443.311451,-38.285162,-765.703232,-9858.429112
443.314005,-114.855485,-880.558717,-9475.577496
443.316559,-57.427742,-976.271621,-9781.858789
443.319113,-57.427742,-937.986459,-9552.147819
443.321666,-76.570323,-842.273555,-9705.288466
443.324220,-133.998066,-803.988394,-9667.003304
443.326774,-114.855485,-1033.699363,-9705.288466
443.329328,-114.855485,-937.986459,-9628.718142
443.331881,-0.000000,-1014.556782,-9628.718142
