#time,accel_x,accel_y,accel_z
455.499752,-325.423874,-191.425808,-10394.421374
455.502439,172.283227,1397.408398,-9456.434915
455.505126,-38.285162,3924.229064,-9265.009107
455.507813,133.998066,4766.502619,-9781.858789
455.510500,-153.140646,6278.766502,-10681.560086
455.513187,1186.840010,1741.974853,-9284.151688
455.515873,-1110.269686,2258.824534,-11734.402030
455.518560,-535.992262,-4077.369710,-5359.922624
455.521247,133.998066,-10241.280728,-10260.423309
455.523934,-516.849682,-10777.272990,-11868.400096
455.526621,478.564520,-8097.311678,-7274.180704
455.529308,-1875.972918,1646.261949,-11236.694930
455.531994,1722.832272,-1703.689691,-8288.737486
455.534681,-593.420005,-76.570323,-10279.565890
455.537368,172.283227,-1454.836141,-10164.710405
455.540055,-746.560651,-937.986459,-9494.720077
455.542687,267.996131,-1435.693560,-9571.290400
455.545319,-153.140646,-995.414202,-9686.145885
455.547951,-210.568389,-172.283227,-9092.725880
455.550583,-153.140646,-612.562586,-10202.995566
455.553215,-19.142581,-1301.695494,-9437.292334
455.555847,-172.283227,-1454.836141,-9762.716208
455.558480,-19.142581,-1512.263883,-9494.720077
455.561112,-287.138712,-1339.980656,-9781.858789
455.563744,-57.427742,-1397.408398,-9609.575562
455.566376,-57.427742,-1052.841944,-9609.575562
455.569008,-133.998066,-861.416136,-9801.001370
455.571640,-57.427742,-746.560651,-9571.290400
455.574272,-210.568389,-708.275490,-9954.142016
455.576904,-76.570323,-765.703232,-9705.288466
455.579536,-114.855485,-803.988394,-9284.151688
455.582169,-38.285162,-669.990328,-9743.573627
455.584801,-0.000000,-899.701298,-9360.722011
455.587433,-153.140646,-861.416136,-9686.145885
455.590065,-57.427742,-1110.269686,-9781.858789
455.592697,-172.283227,-1225.125171,-9571.290400
455.595329,-38.285162,-1244.267752,-9762.716208
455.597961,-114.855485,-1225.125171,-9934.999435
455.600593,-153.140646,-1148.554848,-9571.290400
455.603225,-172.283227,-1033.699363,-9494.720077
455.605857,-95.712904,-746.560651,-9590.432981
455.608490,-38.285162,-650.847747,-9590.432981
455.611122,-0.000000,-535.992262,-9705.288466
455.613754,-114.855485,-421.136778,-9494.720077
455.616386,-57.427742,-593.420005,-9686.145885
455.619018,-114.855485,-708.275490,-9762.716208
455.621650,-133.998066,-1148.554848,-9437.292334
455.624282,-57.427742,-1435.693560,-9628.718142
