#time,accel_x,accel_y,accel_z
794.082691,-114.855485,-823.130974,-9667.003304
794.085376,-76.570323,-937.986459,-9571.290400
794.088061,-114.855485,-880.558717,-9667.003304
794.090746,-114.855485,-918.843878,-9552.147819
794.093431,-114.855485,-823.130974,-9667.003304
794.096116,-57.427742,-823.130974,-9647.860723
794.098801,-114.855485,-918.843878,-9686.145885
794.101486,-172.283227,-880.558717,-9628.718142
794.104171,-95.712904,-880.558717,-9571.290400
794.106856,-114.855485,-918.843878,-9628.718142
794.109541,-95.712904,-899.701298,-9686.145885
794.112226,-133.998066,-880.558717,-9686.145885
794.114911,-114.855485,-899.701298,-9647.860723
794.117596,-76.570323,-880.558717,-9628.718142
794.120281,-114.855485,-899.701298,-9686.145885
794.122966,-95.712904,-918.843878,-9686.145885
794.125651,-0.000000,-1186.840010,-9322.436850
794.128336,-0.000000,-1378.265818,-9552.147819
794.131021,38.285162,-1435.693560,-9552.147819
794.133706,172.283227,-2871.387120,-8920.442653
794.136391,-746.560651,-4211.367776,-10088.140082
794.139076,267.996131,-9877.571693,-8461.020714
794.141761,-229.710970,-10604.989763,-11121.839445
794.144446,-95.712904,-10279.565890,-9341.579430
794.147131,363.709035,-6470.192310,-7350.751027
794.149816,-1033.699363,1339.980656,-13189.238171
794.152501,344.566454,2143.969050,-8078.169098
794.155186,-803.988394,1856.830338,-7427.321350
794.157819,880.558717,-2890.529701,-11581.261384
794.160456,-76.570323,-4957.928427,-7101.897477
794.163093,-689.132909,-8135.596840,-11255.837510
794.165730,-765.703232,-10566.704602,-8690.731683
794.168367,899.701298,-6642.475538,-8729.016845
794.171005,76.570323,-727.418070,-13112.667848
794.173642,-1607.976787,1588.834206,-9801.001370
794.176279,1512.263883,1378.265818,-6680.760699
794.178916,-153.140646,3943.371645,-10700.702667
794.181553,1052.841944,1052.841944,-9724.431046
794.184190,-4173.082614,1186.840010,-7044.469734
794.186828,1856.830338,-4862.215523,-10528.419440
794.189465,899.701298,-3809.373579,-16941.184008
794.192102,-861.416136,-2316.252277,-2775.674216
794.194739,19.142581,-3541.377448,-9858.429112
794.197376,-478.564520,478.564520,-9571.290400
794.200013,-267.996131,2067.398726,-4421.936165
794.202651,-593.420005,2086.541307,-15524.633029
794.205288,2986.242605,-2258.824534,-5723.631659
794.207925,-3235.096155,669.990328,-9341.579430
794.210562,1301.695494,-3981.656806,-13725.230434
794.213199,-1799.402595,-4421.936165,-7121.040058
794.215836,2201.396792,-4058.227130,-7140.182638
794.218474,-1205.982590,-1167.697429,-12595.818166
794.221111,899.701298,1856.830338,-10126.425243
794.223748,-2354.537438,4651.647134,-4364.508422
794.226385,1646.261949,631.705166,-16098.910453
794.229022,-995.414202,1416.550979,-8116.454259
794.231659,95.712904,-3388.236802,-5915.057467
794.234297,19.142581,-5302.494882,-13170.095590
794.236934,325.423874,-3751.945837,-6125.625856
794.239571,133.998066,-2163.111630,-10202.995566
794.242208,133.998066,-133.998066,-13227.523333
794.244845,-1282.552914,2775.674216,-5283.352301
794.247482,1014.556782,1225.125171,-10585.847182
794.250120,-1167.697429,1205.982590,-13457.234302
794.252757,-76.570323,-1148.554848,-4479.363907
794.255394,2718.246474,-6163.911018,-8288.737486
794.258031,-5321.637462,-727.418070,-15945.769806
794.260668,-1722.832272,-976.271621,-9705.288466
794.263267,8556.733618,-4843.072942,-8097.311678
794.265865,-4019.941968,4402.793584,-6278.766502
794.268464,-2775.674216,2679.961312,-18415.162730
794.271062,4402.793584,-2871.387120,-3005.385186
794.273661,-2373.680019,-574.277424,-7121.040058
