#time,accel_x,accel_y,accel_z
781.163766,-95.712904,-918.843878,-9571.290400
781.166451,-114.855485,-880.558717,-9609.575562
781.169136,-114.855485,-880.558717,-9609.575562
781.171821,-114.855485,-880.558717,-9628.718142
781.174506,-76.570323,-823.130974,-9628.718142
781.177191,-57.427742,-937.986459,-9743.573627
781.179876,-114.855485,-918.843878,-9609.575562
781.182561,-114.855485,-880.558717,-9609.575562
781.185246,-95.712904,-899.701298,-9628.718142
781.187931,-133.998066,-880.558717,-9628.718142
781.190616,-95.712904,-880.558717,-9552.147819
781.193301,-76.570323,-823.130974,-9667.003304
781.195986,-57.427742,-937.986459,-9647.860723
781.198671,-114.855485,-899.701298,-9667.003304
781.201356,-57.427742,-899.701298,-9628.718142
781.204041,-57.427742,-880.558717,-9667.003304
781.206726,-57.427742,-937.986459,-9322.436850
781.209411,-95.712904,-1110.269686,-9418.149754
781.212096,248.853550,-1741.974853,-9513.862658
781.214781,19.142581,-3790.230998,-8767.302006
781.217466,-95.712904,-6374.479406,-10585.847182
781.220151,555.134843,-10260.423309,-8958.727814
781.222836,-612.562586,-8901.300072,-11332.407834
781.225521,-746.560651,-8499.305875,-9322.436850
781.228207,2143.969050,-6431.907149,-2622.533570
781.230892,-2660.818731,3503.092286,-15084.353670
781.233577,-306.281293,2143.969050,-13323.236237
781.236262,-172.283227,765.703232,-3062.812928
781.238895,153.140646,-4479.363907,-10892.128475
781.241528,-401.994197,-5474.778109,-13725.230434
781.244162,593.420005,-10662.417506,-4747.360038
781.246795,-382.851616,-9934.999435,-9437.292334
781.249428,-153.140646,-2699.103893,-8977.870395
781.252062,-440.279358,4364.508422,-11083.554283
781.254695,-516.849682,5493.920690,-11102.696864
781.257329,842.273555,2258.824534,-8020.741355
781.259962,325.423874,2086.541307,-6010.770371
781.262595,1110.269686,-191.425808,-12270.394293
781.265229,-2986.242605,-1110.269686,-14854.642701
781.267862,2086.541307,-7733.602643,-3081.955509
781.270495,459.421939,-7216.752962,-10643.274925
781.273129,-2411.965181,612.562586,-9915.856854
781.275762,-1186.840010,2603.390989,-11408.978157
781.278395,708.275490,2086.541307,-7618.747158
781.281029,555.134843,957.129040,-8901.300072
781.283662,172.283227,-382.851616,-11408.978157
781.286296,-765.703232,-401.994197,-7963.313613
781.288929,516.849682,-2488.535504,-10107.282662
781.291562,-2220.539373,-1186.840010,-10987.841379
781.294196,1205.982590,-4077.369710,-9896.714274
781.296829,593.420005,-3388.236802,-7140.182638
781.299462,-669.990328,-172.283227,-12232.109131
781.302096,2335.394858,918.843878,-7025.327154
781.304729,-5972.485210,6891.329088,-13533.804626
781.307363,5091.926493,-2411.965181,-5972.485210
781.309996,-2411.965181,-995.414202,-8575.876198
781.312629,-210.568389,-2565.105827,-10317.851051
781.315263,267.996131,-2890.529701,-12193.823970
781.317896,-1473.978722,-2947.957443,-6489.334891
781.320529,1359.123237,-4555.934230,-11485.548480
781.323125,-133.998066,-440.279358,-10738.987829
