#time,accel_x,accel_y,accel_z
732.460467,-95.712904,-2660.818731,-9877.571693
732.462611,114.855485,-7580.461997,-8977.870395
732.464756,-248.853550,-10528.419440,-11772.687192
732.466901,976.271621,-8499.305875,-9073.583299
732.469046,-2182.254211,2392.822600,-9111.868461
732.471191,1454.836141,-2143.969050,-8327.022648
732.473336,-631.705166,-306.281293,-12327.822035
732.475480,-0.000000,-1301.695494,-6757.331022
732.477625,344.566454,-2660.818731,-10566.704602
732.479770,-325.423874,-3732.803256,-10049.854920
732.482186,-191.425808,-5819.344563,-8020.741355
732.484603,306.281293,-9647.860723,-9781.858789
732.487019,-1512.263883,-8920.442653,-11255.837510
732.489435,918.843878,-8709.874264,-7197.610381
732.491852,-0.000000,-3330.809059,-9762.716208
732.494268,-650.847747,2469.392923,-12710.673651
732.496684,631.705166,976.271621,-7159.325219
732.499101,-1454.836141,229.710970,-10911.271056
732.501517,382.851616,-5130.211654,-8671.589102
732.503933,306.281293,-3751.945837,-9303.294269
732.506349,-1033.699363,-4670.789715,-12212.966550
732.508766,803.988394,-3158.525832,-8499.305875
732.511182,-344.566454,1186.840010,-9207.581365
732.513598,-210.568389,3292.523898,-11351.550414
732.516015,-555.134843,4728.217458,-8729.016845
732.518431,727.418070,-1722.832272,-7140.182638
732.520847,-363.709035,-2277.967115,-14471.791085
732.523263,-0.000000,-4728.217458,-7369.893608
732.525680,38.285162,-3522.234867,-8173.882002
732.528096,-401.994197,-2124.826469,-13610.374949
732.530512,-95.712904,-976.271621,-4843.072942
732.532929,1761.117434,995.414202,-11542.976222
732.535345,-2354.537438,4670.789715,-12902.099459
732.537761,976.271621,976.271621,-2469.392923
732.540178,210.568389,-1627.119368,-15582.060771
732.542594,-1052.841944,-2603.390989,-5781.059402
732.545010,172.283227,-3311.666478,-9494.720077
732.547426,-995.414202,-3885.943902,-11887.542677
732.549843,803.988394,-1588.834206,-9035.298138
732.552259,-267.996131,344.566454,-8958.727814
732.554675,421.136778,823.130974,-10279.565890
732.557092,-401.994197,1895.115499,-10585.847182
732.559615,-95.712904,-574.277424,-5895.914886
732.562137,-1607.976787,995.414202,-14069.796888
732.564660,861.416136,-2584.248408,-8020.741355
732.567183,-153.140646,-3215.953574,-8595.018779
732.569706,631.705166,-3464.807125,-11734.402030
732.572229,-650.847747,-2258.824534,-4804.787781
732.574752,-363.709035,593.420005,-14490.933666
732.577275,-19.142581,612.562586,-9188.438784
732.579798,248.853550,2048.256146,-5627.918755
732.582321,1282.552914,-1244.267752,-13342.378818
732.584844,-1569.691626,-19.142581,-8537.591037
732.587367,-95.712904,-861.416136,-8480.163294
