#time,accel_x,accel_y,accel_z
411.623252,459.657299,148.041188,9696.697840
411.623560,612.876398,740.205942,9844.739029
411.623868,1149.143247,222.061783,9770.718434
411.624176,919.314598,-74.020594,9474.636058
411.624484,612.876398,370.102971,9992.780217
411.624792,612.876398,592.164754,9622.677246
411.625100,536.266849,296.082377,9770.718434
411.625408,536.266849,296.082377,9548.656652
411.625716,306.438199,-0.000000,9770.718434
411.626024,842.705048,74.020594,9770.718434
411.626332,1072.533697,-0.000000,9696.697840
411.626640,689.485948,-0.000000,9770.718434
411.626947,689.485948,-0.000000,9548.656652
411.627255,689.485948,-0.000000,9474.636058
411.627563,612.876398,74.020594,9548.656652
411.627871,536.266849,222.061783,9548.656652
411.628179,459.657299,148.041188,9622.677246
411.628487,1455.581446,-74.020594,9622.677246
411.628795,842.705048,-0.000000,9770.718434
411.629103,76.609550,-0.000000,9770.718434
411.629411,0.000000,-0.000000,9696.697840
411.629719,536.266849,370.102971,9622.677246
411.630027,766.095498,370.102971,9696.697840
411.630335,536.266849,296.082377,9474.636058
411.630643,766.095498,222.061783,9400.615463
411.630951,1378.971896,222.061783,9474.636058
411.631259,842.705048,-0.000000,9548.656652
411.631567,842.705048,370.102971,9844.739029
411.631875,766.095498,-0.000000,9474.636058
411.632183,612.876398,-0.000000,9622.677246
411.632491,612.876398,148.041188,9548.656652
411.632799,383.047749,148.041188,9548.656652
411.633107,612.876398,296.082377,9548.656652
411.633415,995.924147,-0.000000,9474.636058
411.633723,1225.752797,-74.020594,9770.718434
411.634031,612.876398,-74.020594,10066.800811
411.634339,1072.533697,-518.144159,10140.821405
411.634647,612.876398,-814.226536,9918.759623
411.634955,612.876398,-592.164754,9992.780217
411.635263,766.095498,-592.164754,10140.821405
411.635571,1225.752797,-148.041188,10140.821405
411.635879,1532.190996,-0.000000,9400.615463
411.636187,1225.752797,666.185348,8808.450710
411.636495,2298.286494,888.247130,8956.491898
411.636803,2221.676944,814.226536,9030.512492
411.637111,2451.505594,666.185348,8882.471304
411.637419,1915.238745,518.144159,9178.553681
411.637727,2068.457845,518.144159,9326.594869
411.638035,1225.752797,222.061783,9474.636058
411.638343,1378.971896,-0.000000,10066.800811
