#time,accel_x,accel_y,accel_z
729.411360,-57.427742,-76.570323,-11696.116869
729.413519,38.285162,-5972.485210,-8231.309744
729.415679,-401.994197,-9896.714274,-8748.159426
729.417839,382.851616,-10566.704602,-11581.261384
729.419998,669.990328,-4632.504554,-9226.723946
729.422158,-2373.680019,2373.680019,-9111.868461
729.424318,1550.549045,-2718.246474,-9628.718142
729.426477,-535.992262,-191.425808,-8977.870395
729.428637,593.420005,-2565.105827,-8346.165229
729.430797,-0.000000,-2871.387120,-11140.982026
729.433226,-823.130974,-4287.938099,-8327.022648
729.435655,210.568389,-8193.024582,-8958.727814
729.438084,-401.994197,-10681.560086,-10145.567824
729.440513,-229.710970,-8690.731683,-10222.138147
729.442942,-153.140646,-3254.238736,-9762.716208
729.445371,-1205.982590,-440.279358,-10202.995566
729.447800,823.130974,976.271621,-8365.307810
729.450229,1339.980656,-363.709035,-7791.030386
729.452658,-1205.982590,-287.138712,-13993.226565
729.455087,1071.984525,-5742.774240,-6489.334891
729.457516,-421.136778,-3924.229064,-9667.003304
729.459945,-650.847747,-2163.111630,-11466.405899
729.462374,-574.277424,-267.996131,-7369.893608
729.464803,-1244.267752,2545.963246,-12251.251712
729.467232,1225.125171,-57.427742,-9437.292334
729.469662,114.855485,2220.539373,-6163.911018
729.472091,-114.855485,-19.142581,-14605.789150
729.474520,-191.425808,-3005.385186,-4383.651003
729.476949,-133.998066,-4077.369710,-11676.974288
729.479378,-2201.396792,-1856.830338,-14605.789150
729.481807,1741.974853,-57.427742,-2297.109696
729.484236,-1129.412267,-612.562586,-12940.384621
729.486665,229.710970,229.710970,-12193.823970
729.489094,784.845813,114.855485,-5647.061336
729.491523,-459.421939,153.140646,-10643.274925
729.493952,-267.996131,-1091.127106,-11906.685258
729.496381,344.566454,-2067.398726,-5072.783912
729.498810,-650.847747,-918.843878,-12576.675586
729.501239,478.564520,-2794.816797,-9762.716208
729.503668,191.425808,-1033.699363,-6451.049730
729.506097,-784.845813,-229.710970,-14261.222696
729.508526,727.418070,-631.705166,-6891.329088
729.510955,-631.705166,1225.125171,-8288.737486
729.513384,-95.712904,-1359.123237,-13993.226565
729.515813,-76.570323,382.851616,-5838.487144
729.518242,459.421939,-2756.531635,-9839.286531
729.520671,-823.130974,-1473.978722,-12461.820101
729.523101,727.418070,-3273.381317,-7389.036189
729.525530,1703.689691,-2641.676150,-7695.317482
729.527959,-2488.535504,1952.543242,-14950.355605
729.530494,-325.423874,918.843878,-4919.643266
729.533029,57.427742,784.845813,-11485.548480
729.535564,-1359.123237,-57.427742,-11408.978157
729.538099,1837.687757,-2871.387120,-6068.198114
729.540634,-1186.840010,-1895.115499,-11676.974288
729.543169,-76.570323,-2526.820666,-10566.704602
729.545704,-57.427742,-1378.265818,-7446.463931
729.548239,-1320.838075,-1435.693560,-9686.145885
729.550774,248.853550,229.710970,-13629.517530
729.553309,191.425808,746.560651,-7140.182638
729.555844,1033.699363,823.130974,-7159.325219
729.558379,-1282.552914,153.140646,-14663.216893
729.560914,-95.712904,-880.558717,-5915.057467
729.563449,-306.281293,-1301.695494,-10164.710405
729.565984,-1205.982590,-2813.959378,-11657.831707
729.568519,1588.834206,-4230.510357,-6699.903280
729.571054,-1148.554848,-2335.394858,-12902.099459
729.573589,612.562586,-229.710970,-9035.298138
729.576124,1282.552914,76.570323,-6795.616184
729.578659,-918.843878,1761.117434,-11619.546546
729.581194,-2163.111630,4039.084549,-11791.829773
729.583729,1856.830338,-1454.836141,-4383.651003
729.586264,-1416.550979,-861.416136,-13935.798822
729.588799,401.994197,-5034.498750,-10451.849117
729.591334,382.851616,-3349.951640,-4996.213589
729.593869,-727.418070,-3120.240670,-15218.351736
729.596404,-555.134843,-784.845813,-5627.918755
729.598939,382.851616,382.851616,-10853.843314
729.601474,-574.277424,1282.552914,-13170.095590
729.604009,1454.836141,2565.105827,-6317.051664
729.606544,-708.275490,689.132909,-6259.623922
729.609079,38.285162,-1914.258080,-13189.238171
729.611660,382.851616,-3177.668413,-5398.207786
729.614242,210.568389,-4039.084549,-7905.885870
729.616823,-1186.840010,-1952.543242,-16941.184008
729.619404,-1703.689691,-669.990328,-4747.360038
729.621986,2354.537438,-459.421939,-7618.747158
729.624567,-937.986459,-114.855485,-16596.617554
729.627148,-574.277424,2392.822600,-4000.799387
729.629730,1607.976787,-842.273555,-9820.143950
729.632311,-1378.265818,-287.138712,-11734.402030
729.634892,95.712904,-2545.963246,-9552.147819
729.637474,114.855485,-3215.953574,-6202.196179
729.640055,-1359.123237,-1052.841944,-14165.509792
729.642636,267.996131,-2775.674216,-8384.450390
729.645218,-191.425808,669.990328,-6374.479406
729.647799,-38.285162,1071.984525,-15371.492382
729.650380,306.281293,287.138712,-5034.498750
729.652962,-803.988394,401.994197,-10432.706536
729.655543,-95.712904,-2545.963246,-12519.247843
729.658124,-153.140646,-1205.982590,-6719.045861
729.660706,459.421939,-3751.945837,-10030.712339
729.663287,-803.988394,-1148.554848,-11217.552349
729.665868,803.988394,-1837.687757,-8824.729749
729.668450,1148.554848,-937.986459,-6738.188442
729.671031,-4594.219392,4957.928427,-17247.465301
729.673612,2297.109696,-191.425808,-2507.678085
729.676194,1301.695494,-1014.556782,-9858.429112
729.678775,-2947.957443,-1780.260014,-14471.791085
