#time,accel_x,accel_y,accel_z
621.259505,-229.710970,1473.978722,-11887.542677
621.262252,-19.142581,4039.084549,-7963.313613
621.264999,-114.855485,3369.094221,-9820.143950
621.267745,-0.000000,440.279358,-10298.708470
621.270492,-0.000000,-3522.234867,-8059.026517
621.273238,-344.566454,-5245.067139,-10662.417506
621.275985,-133.998066,-5053.641331,-10413.563955
621.278731,-95.712904,-3675.375514,-7982.456194
621.281478,-153.140646,-459.421939,-11715.259450
621.284224,267.996131,1990.828403,-9054.440718
621.286971,-344.566454,3139.383251,-8154.739421
621.289718,210.568389,1971.685822,-11581.261384
621.292464,-172.283227,535.992262,-8499.305875
621.295211,-19.142581,-2335.394858,-8843.872330
621.297957,-172.283227,-3598.805190,-11600.403965
621.300704,-363.709035,-2986.242605,-8556.733618
621.303450,76.570323,-3541.377448,-9973.284597
621.306197,-306.281293,-1339.980656,-11657.831707
621.308943,344.566454,1129.412267,-7350.751027
621.311690,-497.707101,2507.678085,-9992.427178
621.314437,210.568389,1588.834206,-11600.403965
621.317183,-19.142581,382.851616,-6585.047795
621.319930,-57.427742,-2565.105827,-10796.415571
621.322676,-191.425808,-3924.229064,-11102.696864
621.325423,-38.285162,-3196.810994,-7293.323285
621.328169,-191.425808,-2392.822600,-11255.837510
621.330916,-325.423874,-76.570323,-10394.421374
621.333663,-172.283227,1282.552914,-7637.889739
621.336409,38.285162,535.992262,-10987.841379
621.339156,-363.709035,459.421939,-9609.575562
621.341902,229.710970,-497.707101,-8154.739421
621.344649,-248.853550,-1454.836141,-10758.130410
621.347395,-95.712904,-1588.834206,-9303.294269
621.350142,-0.000000,-1301.695494,-9303.294269
621.352888,-133.998066,-2143.969050,-10279.565890
621.355635,-133.998066,-1741.974853,-9762.716208
621.358362,-76.570323,-957.129040,-9418.149754
621.361089,-153.140646,-267.996131,-9705.288466
621.363816,-95.712904,708.275490,-9533.005238
621.366543,-0.000000,555.134843,-9494.720077
621.369270,-57.427742,-708.275490,-9265.009107
621.371997,-76.570323,-2163.111630,-10049.854920
621.374724,-267.996131,-2239.681954,-9973.284597
621.377451,210.568389,-2316.252277,-9188.438784
621.380178,-421.136778,-1205.982590,-10279.565890
621.382905,248.853550,-38.285162,-9379.864592
621.385632,-555.134843,1014.556782,-9131.011042
621.388359,76.570323,0.000000,-10777.272990
621.391086,-133.998066,-459.421939,-8997.012976
621.393813,-287.138712,-1607.976787,-9150.153622
621.396540,-95.712904,-2411.965181,-10949.556218
621.399267,-76.570323,-1875.972918,-9207.581365
621.401994,-172.283227,-1646.261949,-8824.729749
621.404721,-57.427742,-1550.549045,-11045.269122
621.407448,-133.998066,363.709035,-9418.149754
621.410175,306.281293,746.560651,-8824.729749
621.412902,-459.421939,650.847747,-10872.985894
621.415629,210.568389,-287.138712,-8805.587168
621.418356,-19.142581,-1531.406464,-9035.298138
621.421083,-401.994197,-3101.098090,-10930.413637
621.423810,19.142581,-2986.242605,-9475.577496
621.426537,57.427742,-1244.267752,-8920.442653
621.429264,-191.425808,306.281293,-11217.552349
621.431991,-76.570323,1129.412267,-8824.729749
621.434718,38.285162,535.992262,-8518.448456
621.437445,-153.140646,-1033.699363,-11083.554283
621.440172,-133.998066,-1378.265818,-9245.866526
621.442899,-95.712904,-1761.117434,-8614.161360
621.445626,-0.000000,-2105.683888,-11121.839445
621.448353,-325.423874,-708.275490,-9073.583299
621.451080,172.283227,-708.275490,-8997.012976
621.453807,-229.710970,-1550.549045,-10604.989763
621.456534,-133.998066,-842.273555,-9647.860723
621.459261,363.709035,-459.421939,-8824.729749
621.461988,-363.709035,-114.855485,-10681.560086
621.464715,133.998066,-287.138712,-9379.864592
621.467422,-153.140646,-574.277424,-8901.300072
621.470130,-76.570323,-2048.256146,-10892.128475
621.472837,-114.855485,-1837.687757,-9418.149754
621.475544,-38.285162,-1435.693560,-8939.585234
621.478251,-172.283227,-1320.838075,-10796.415571
621.480958,-57.427742,-133.998066,-9360.722011
621.483665,153.140646,248.853550,-8901.300072
621.486372,-363.709035,-899.701298,-10222.138147
621.489080,-76.570323,-1167.697429,-9877.571693
621.491787,153.140646,-1186.840010,-8556.733618
621.494494,-287.138712,-1186.840010,-10451.849117
621.497201,-95.712904,-765.703232,-9801.001370
621.499908,-19.142581,-440.279358,-8441.878133
621.502615,-133.998066,-1493.121302,-10394.421374
621.505322,-114.855485,-1244.267752,-10107.282662
621.508029,-95.712904,-650.847747,-8556.733618
621.510737,-172.283227,-1033.699363,-10872.985894
621.513444,-38.285162,-650.847747,-9341.579430
621.516151,-0.000000,-344.566454,-8767.302006
621.518858,-191.425808,-1799.402595,-10413.563955
621.521565,-133.998066,-1531.406464,-9992.427178
621.524272,-19.142581,-746.560651,-8652.446522
621.526979,-114.855485,-650.847747,-10183.852986
621.529686,-153.140646,-76.570323,-10011.569758
621.532394,19.142581,57.427742,-8480.163294
621.535101,-0.000000,-1607.976787,-10470.991698
621.537808,-382.851616,-1741.974853,-10222.138147
621.540515,172.283227,-1875.972918,-8518.448456
621.543222,-153.140646,-1110.269686,-10375.278794
621.545929,-287.138712,133.998066,-10375.278794
621.548636,19.142581,133.998066,-8729.016845
621.551343,-363.709035,-1148.554848,-10164.710405
621.554051,-19.142581,-1569.691626,-10260.423309
621.556758,-172.283227,-1186.840010,-8461.020714
621.559465,-38.285162,-1856.830338,-10298.708470
621.562172,-344.566454,-650.847747,-10068.997501
621.564879,210.568389,-172.283227,-8307.880067
621.567586,-95.712904,-995.414202,-10222.138147
621.570293,-459.421939,-1129.412267,-10260.423309
621.573001,306.281293,-1301.695494,-8556.733618
621.575682,-38.285162,-957.129040,-9686.145885
621.578363,-516.849682,95.712904,-10834.700733
621.581044,-38.285162,76.570323,-8671.589102
621.583725,114.855485,-746.560651,-8939.585234
621.586406,-497.707101,-1205.982590,-10738.987829
621.589087,325.423874,-1875.972918,-8997.012976
621.591768,-516.849682,-1799.402595,-9341.579430
621.594449,-0.000000,-1110.269686,-11274.980091
621.597130,-191.425808,114.855485,-8250.452325
621.599811,210.568389,-401.994197,-9475.577496
621.602492,-248.853550,-114.855485,-11179.267187
621.605173,57.427742,-248.853550,-8288.737486
621.607855,-0.000000,-1148.554848,-9111.868461
621.610536,-344.566454,-1263.410333,-11619.546546
621.613217,114.855485,-1320.838075,-8193.024582
621.615898,-19.142581,-2067.398726,-8863.014910
621.618579,-478.564520,-1933.400661,-11830.114934
