#time,accel_x,accel_y,accel_z
612.630599,-76.570323,-918.843878,-9571.290400
612.633347,-325.423874,-478.564520,-9973.284597
612.636096,-0.000000,287.138712,-9858.429112
612.638844,-133.998066,3464.807125,-9820.143950
612.641592,-19.142581,5091.926493,-9379.864592
612.644341,-133.998066,5111.069074,-9667.003304
612.647089,-19.142581,5283.352301,-10030.712339
612.649838,-306.281293,1282.552914,-8461.020714
612.652586,267.996131,-2603.390989,-9801.001370
612.655334,-325.423874,-7580.461997,-8786.444587
612.657997,-248.853550,-11045.269122,-11121.839445
612.660660,746.560651,-8135.596840,-7963.313613
612.663323,-2373.680019,1971.685822,-9743.573627
612.665985,1282.552914,-2067.398726,-8939.585234
612.668648,-765.703232,-57.427742,-11332.407834
612.671311,172.283227,-1588.834206,-7331.608446
612.673974,191.425808,-2143.969050,-10911.271056
612.676636,-210.568389,-2545.963246,-9513.862658
612.679299,-306.281293,-3426.521963,-8748.159426
612.681962,-38.285162,-4173.082614,-10528.419440
612.684625,-172.283227,-3388.236802,-9877.571693
612.687287,-19.142581,-2565.105827,-8441.878133
612.689950,-76.570323,-95.712904,-11753.544611
612.692613,-153.140646,1990.828403,-8173.882002
612.695276,-76.570323,1761.117434,-9245.866526
612.697938,-172.283227,727.418070,-10987.841379
612.700601,-0.000000,-976.271621,-8307.880067
612.703264,-133.998066,-2756.531635,-9896.714274
612.705927,-114.855485,-4134.797453,-10394.421374
612.708589,-95.712904,-2794.816797,-9035.298138
612.711252,-191.425808,-784.845813,-9954.142016
612.713915,-95.712904,478.564520,-9934.999435
612.716578,-133.998066,1493.121302,-8939.585234
612.719240,38.285162,1033.699363,-10241.280728
612.721903,-133.998066,344.566454,-9379.864592
612.724566,19.142581,-2105.683888,-8824.729749
612.727229,-325.423874,-3062.812928,-10662.417506
612.729891,-133.998066,-3062.812928,-9571.290400
612.732554,-57.427742,-2431.107762,-8997.012976
612.735217,-229.710970,-1052.841944,-11006.983960
612.737880,-38.285162,574.277424,-9169.296203
612.740542,-19.142581,1454.836141,-9609.575562
612.743205,-153.140646,191.425808,-10145.567824
612.745868,-95.712904,-1148.554848,-8863.014910
612.748531,-38.285162,-2239.681954,-9915.856854
612.751193,-38.285162,-2507.678085,-9724.431046
612.753856,-114.855485,-1971.685822,-9303.294269
612.756519,-133.998066,-995.414202,-10336.993632
612.759182,191.425808,-57.427742,-9322.436850
612.761844,-153.140646,497.707101,-9150.153622
612.764448,-287.138712,0.000000,-10643.274925
612.767063,-0.000000,-382.851616,-9054.440718
612.769677,-38.285162,-765.703232,-8997.012976
612.772292,-325.423874,-1531.406464,-10547.562021
612.774906,-38.285162,-1569.691626,-9169.296203
612.777521,-153.140646,-1473.978722,-9877.571693
612.780135,-153.140646,-1454.836141,-10030.712339
612.782750,-57.427742,-1722.832272,-9226.723946
612.785365,-76.570323,-631.705166,-10279.565890
612.787979,-95.712904,497.707101,-9418.149754
612.790594,-172.283227,344.566454,-9092.725880
612.793208,-95.712904,38.285162,-10183.852986
612.795823,38.285162,-593.420005,-9437.292334
612.798438,-19.142581,-1722.832272,-9169.296203
612.801052,-153.140646,-3349.951640,-10356.136213
612.803667,-57.427742,-2871.387120,-9724.431046
612.806281,-38.285162,-1282.552914,-9284.151688
